Round,Location,Hard Mode,Zerg Ultralisk,Terran Firebat,Protoss Reaver,Infested Kerrigan (Infested Terran),Edmund Duke (Tank Mode),Tassadar (Templar),Hunter Killer (Hydralisk),Torrasque (Ultralisk),Zeratul (Dark Templar),Tom Kazansky (Wraith),Jim Raynor (Marine),Fenix (Dragoon),Zerg Zergling,Alexei Stukov (Ghost),Artanis (Scout),Zerg Devourer,Fenix (Zealot),Yggdrasill (Overlord),Alan Schezar (Goliath),Kukulza (Guardian),Norad II (Battlecruiser),Dark Templar (Hero),Sarah Kerrigan (Ghost),Danimoth (Arbiter),Protoss Observer,Kukulza (Mutalisk),Gantrithor (Carrier)
13,spawner,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
13,spawner2,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
13,spawner,option 1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
13,spawner,option 2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
13,spawner,option 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,
13,spawner,option 4,,,,,,,2,,,,,,,,,,,,,,,,,,,,
14,spawner,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
14,spawner2,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
14,spawner,option 1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
14,spawner,option 2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
14,spawner,option 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,
14,spawner,option 4,,,,,,,2,,,,,,,,,,,,,,,,,,,,
15,spawner,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
15,spawner2,,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
15,spawner,option 1,,,,2,,,,,,,,,,,,,,,,,,,,,,,
15,spawner,option 2,,,,,2,,,,,,,,,,,,,,,,,,,,,,
15,spawner,option 3,,,,,,2,,,,,,,,,,,,,,,,,,,,,
15,spawner,option 4,,,,,,,2,,,,,,,,,,,,,,,,,,,,
16,spawner,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
16,spawner2,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
16,spawner,option 1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
16,spawner,option 2,,,,,,2,,,,,,,,,,,,,,,,,,,,,
16,spawner,option 3,,,,,,,2,,,,,,,,,,,,,,,,,,,,
16,spawner,option 4,,,,,,,,,2,,,,,,,,,,,,,,,,,,
17,spawner,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
17,spawner2,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
17,spawner,option 1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
17,spawner,option 2,,,,,,2,,,,,,,,,,,,,,,,,,,,,
17,spawner,option 3,,,,,,,2,,,,,,,,,,,,,,,,,,,,
17,spawner,option 4,,,,,,,,,2,,,,,,,,,,,,,,,,,,
18,spawner,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
18,spawner2,,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,
18,spawner,option 1,,,,,2,,,,,,,,,,,,,,,,,,,,,,
18,spawner,option 2,,,,,,2,,,,,,,,,,,,,,,,,,,,,
18,spawner,option 3,,,,,,,2,,,,,,,,,,,,,,,,,,,,
18,spawner,option 4,,,,,,,,,2,,,,,,,,,,,,,,,,,,
19,spawner,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
19,spawner2,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
19,spawner,option 1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
19,spawner,option 2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
19,spawner,option 3,,,,,,,,,2,,,,,,,,,,,,,,,,,,
19,spawner,option 4,,,,,,,,,,2,,,,,,,,,,,,,,,,,
20,spawner,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
20,spawner2,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
20,spawner,option 1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
20,spawner,option 2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
20,spawner,option 3,,,,,,,,,2,,,,,,,,,,,,,,,,,,
20,spawner,option 4,,,,,,,,,,2,,,,,,,,,,,,,,,,,
21,spawner,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
21,spawner2,,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
21,spawner,option 1,,,,,,2,,,,,,,,,,,,,,,,,,,,,
21,spawner,option 2,,,,,,,2,,,,,,,,,,,,,,,,,,,,
21,spawner,option 3,,,,,,,,,2,,,,,,,,,,,,,,,,,,
21,spawner,option 4,,,,,,,,,,2,,,,,,,,,,,,,,,,,
22,spawner,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
22,spawner2,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
22,spawner,option 1,,,,,,,2,,,,,,,,,,,,,,,,,,,,
22,spawner,option 2,,,,,,,,,2,,,,,,,,,,,,,,,,,,
22,spawner,option 3,,,,,,,,,,2,,,,,,,,,,,,,,,,,
22,spawner,option 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,
23,spawner,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
23,spawner2,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
23,spawner,option 1,,,,,,,2,,,,,,,,,,,,,,,,,,,,
23,spawner,option 2,,,,,,,,,2,,,,,,,,,,,,,,,,,,
23,spawner,option 3,,,,,,,,,,2,,,,,,,,,,,,,,,,,
23,spawner,option 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,
24,spawner,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
24,spawner2,,3,2,1,2,2,2,2,0,,,,,,,,,,,,,,,,,,,
24,spawner,option 1,,,,,,,2,,,,,,,,,,,,,,,,,,,,
24,spawner,option 2,,,,,,,,,2,,,,,,,,,,,,,,,,,,
24,spawner,option 3,,,,,,,,,,2,,,,,,,,,,,,,,,,,
24,spawner,option 4,,,,,,,,,,,2,,,,,,,,,,,,,,,,
25,spawner,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
25,spawner2,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
25,spawner,option 1,,,,,,,,,2,,,,,,,,,,,,,,,,,,
25,spawner,option 2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
25,spawner,option 3,,,,,,,,,,,2,,,,,,,,,,,,,,,,
25,spawner,option 4,,,,,,,,,,,,2,,,,,,,,,,,,,,,
26,spawner,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
26,spawner2,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
26,spawner,option 1,,,,,,,,,2,,,,,,,,,,,,,,,,,,
26,spawner,option 2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
26,spawner,option 3,,,,,,,,,,,2,,,,,,,,,,,,,,,,
26,spawner,option 4,,,,,,,,,,,,2,,,,,,,,,,,,,,,
27,spawner,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
27,spawner2,,3,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
27,spawner,option 1,,,,,,,,,2,,,,,,,,,,,,,,,,,,
27,spawner,option 2,,,,,,,,,,2,,,,,,,,,,,,,,,,,
27,spawner,option 3,,,,,,,,,,,2,,,,,,,,,,,,,,,,
27,spawner,option 4,,,,,,,,,,,,2,,,,,,,,,,,,,,,
28,spawner,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
28,spawner2,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
28,spawner,option 1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
28,spawner,option 2,,,,,,,,,,,2,,,,,,,,,,,,,,,,
28,spawner,option 3,,,,,,,,,,,,2,,,,,,,,,,,,,,,
28,spawner,option 4,,,,,,,,,,,,,2,,,,,,,,,,,,,,
29,spawner,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
29,spawner2,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
29,spawner,option 1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
29,spawner,option 2,,,,,,,,,,,2,,,,,,,,,,,,,,,,
29,spawner,option 3,,,,,,,,,,,,2,,,,,,,,,,,,,,,
29,spawner,option 4,,,,,,,,,,,,,2,,,,,,,,,,,,,,
30,spawner,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
30,spawner2,,3,2,1,2,2,2,2,1,2,2,,,,,,,,,,,,,,,,,
30,spawner,option 1,,,,,,,,,,2,,,,,,,,,,,,,,,,,
30,spawner,option 2,,,,,,,,,,,2,,,,,,,,,,,,,,,,
30,spawner,option 3,,,,,,,,,,,,2,,,,,,,,,,,,,,,
30,spawner,option 4,,,,,,,,,,,,,2,,,,,,,,,,,,,,
31,spawner,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
31,spawner2,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
31,spawner,option 1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
31,spawner,option 2,,,,,,,,,,,,2,,,,,,,,,,,,,,,
31,spawner,option 3,,,,,,,,,,,,,2,,,,,,,,,,,,,,
31,spawner,option 4,,,,,,,,,,,,,,2,,,,,,,,,,,,,
32,spawner,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
32,spawner2,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
32,spawner,option 1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
32,spawner,option 2,,,,,,,,,,,,2,,,,,,,,,,,,,,,
32,spawner,option 3,,,,,,,,,,,,,2,,,,,,,,,,,,,,
32,spawner,option 4,,,,,,,,,,,,,,2,,,,,,,,,,,,,
33,spawner,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
33,spawner2,,3,,1,2,2,2,2,1,2,2,2,,,,,,,,,,,,,,,,
33,spawner,option 1,,,,,,,,,,,2,,,,,,,,,,,,,,,,
33,spawner,option 2,,,,,,,,,,,,2,,,,,,,,,,,,,,,
33,spawner,option 3,,,,,,,,,,,,,2,,,,,,,,,,,,,,
33,spawner,option 4,,,,,,,,,,,,,,2,,,,,,,,,,,,,
34,spawner,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
34,spawner2,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
34,spawner,option 1,,,,,,,,,,,,2,,,,,,,,,,,,,,,
34,spawner,option 2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
34,spawner,option 3,,,,,,,,,,,,,,2,,,,,,,,,,,,,
34,spawner,option 4,,,,,,,,,,,,,,,2,,,,,,,,,,,,
35,spawner,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
35,spawner2,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
35,spawner,option 1,,,,,,,,,,,,2,,,,,,,,,,,,,,,
35,spawner,option 2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
35,spawner,option 3,,,,,,,,,,,,,,2,,,,,,,,,,,,,
35,spawner,option 4,,,,,,,,,,,,,,,2,,,,,,,,,,,,
36,spawner,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
36,spawner2,,3,,1,,2,2,2,1,2,2,2,2,,,,,,,,,,,,,,,
36,spawner,option 1,,,,,,,,,,,,2,,,,,,,,,,,,,,,
36,spawner,option 2,,,,,,,,,,,,,2,,,,,,,,,,,,,,
36,spawner,option 3,,,,,,,,,,,,,,2,,,,,,,,,,,,,
36,spawner,option 4,,,,,,,,,,,,,,,2,,,,,,,,,,,,
37,spawner,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
37,spawner2,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
37,spawner,option 1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
37,spawner,option 2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
37,spawner,option 3,,,,,,,,,,,,,,,2,,,,,,,,,,,,
37,spawner,option 4,,,,,,,,,,,,,,,,2,,,,,,,,,,,
38,spawner,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
38,spawner2,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
38,spawner,option 1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
38,spawner,option 2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
38,spawner,option 3,,,,,,,,,,,,,,,2,,,,,,,,,,,,
38,spawner,option 4,,,,,,,,,,,,,,,,2,,,,,,,,,,,
39,spawner,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
39,spawner2,,2,,1,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,
39,spawner,option 1,,,,,,,,,,,,,2,,,,,,,,,,,,,,
39,spawner,option 2,,,,,,,,,,,,,,2,,,,,,,,,,,,,
39,spawner,option 3,,,,,,,,,,,,,,,2,,,,,,,,,,,,
39,spawner,option 4,,,,,,,,,,,,,,,,2,,,,,,,,,,,
40,spawner,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
40,spawner2,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
40,spawner,option 1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
40,spawner,option 2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
40,spawner,option 3,,,,,,,,,,,,,,,,2,,,,,,,,,,,
40,spawner,option 4,,,,,,,,,,,,,,,,,2,,,,,,,,,,
41,spawner,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
41,spawner2,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
41,spawner,option 1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
41,spawner,option 2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
41,spawner,option 3,,,,,,,,,,,,,,,,2,,,,,,,,,,,
41,spawner,option 4,,,,,,,,,,,,,,,,,2,,,,,,,,,,
42,spawner,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
42,spawner2,,,,,,,,2,1,2,2,2,2,2,2,,,,,,,,,,,,,
42,spawner,option 1,,,,,,,,,,,,,,2,,,,,,,,,,,,,
42,spawner,option 2,,,,,,,,,,,,,,,2,,,,,,,,,,,,
42,spawner,option 3,,,,,,,,,,,,,,,,2,,,,,,,,,,,
42,spawner,option 4,,,,,,,,,,,,,,,,,2,,,,,,,,,,
43,spawner,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
43,spawner2,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
43,spawner,option 1,,,,,,,,,,,,,,,2,,,,,,,,,,,,
43,spawner,option 2,,,,,,,,,,,,,,,,2,,,,,,,,,,,
43,spawner,option 3,,,,,,,,,,,,,,,,,2,,,,,,,,,,
43,spawner,option 4,,,,,,,,,,,,,,,,,,1,,,,,,,,,
44,spawner,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
44,spawner2,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
44,spawner,option 1,,,,,,,,,,,,,,,2,,,,,,,,,,,,
44,spawner,option 2,,,,,,,,,,,,,,,,2,,,,,,,,,,,
44,spawner,option 3,,,,,,,,,,,,,,,,,2,,,,,,,,,,
44,spawner,option 4,,,,,,,,,,,,,,,,,,1,,,,,,,,,
45,spawner,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
45,spawner2,,,,,,,,2,1,2,2,2,2,2,2,2,,,,,,,,,,,,
45,spawner,option 1,,,,,,,,,,,,,,,2,,,,,,,,,,,,
45,spawner,option 2,,,,,,,,,,,,,,,,2,,,,,,,,,,,
45,spawner,option 3,,,,,,,,,,,,,,,,,2,,,,,,,,,,
45,spawner,option 4,,,,,,,,,,,,,,,,,,1,,,,,,,,,
46,spawner,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
46,spawner2,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
46,spawner,option 1,,,,,,,,,,,,,,,,2,,,,,,,,,,,
46,spawner,option 2,,,,,,,,,,,,,,,,,2,,,,,,,,,,
46,spawner,option 3,,,,,,,,,,,,,,,,,,1,,,,,,,,,
46,spawner,option 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,
47,spawner,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
47,spawner2,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
47,spawner,option 1,,,,,,,,,,,,,,,,2,,,,,,,,,,,
47,spawner,option 2,,,,,,,,,,,,,,,,,2,,,,,,,,,,
47,spawner,option 3,,,,,,,,,,,,,,,,,,1,,,,,,,,,
47,spawner,option 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,
48,spawner,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
48,spawner2,,,,,,,,,2,2,2,2,2,2,2,2,2,,,,,,,,,,,
48,spawner,option 1,,,,,,,,,,,,,,,,2,,,,,,,,,,,
48,spawner,option 2,,,,,,,,,,,,,,,,,2,,,,,,,,,,
48,spawner,option 3,,,,,,,,,,,,,,,,,,1,,,,,,,,,
48,spawner,option 4,,,,,,,,,,,,,,,,,,,2,,,,,,,,
49,spawner,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
49,spawner2,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
49,spawner,option 1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
49,spawner,option 2,,,,,,,,,,,,,,,,,,1,,,,,,,,,
49,spawner,option 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,
49,spawner,option 4,,,,,,,,,,,,,,,,,,,,2,,,,,,,
50,spawner,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
50,spawner2,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
50,spawner,option 1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
50,spawner,option 2,,,,,,,,,,,,,,,,,,1,,,,,,,,,
50,spawner,option 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,
50,spawner,option 4,,,,,,,,,,,,,,,,,,,,2,,,,,,,
51,spawner,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
51,spawner2,,,,,,,,,2,,2,2,2,2,2,2,2,2,,,,,,,,,,
51,spawner,option 1,,,,,,,,,,,,,,,,,2,,,,,,,,,,
51,spawner,option 2,,,,,,,,,,,,,,,,,,1,,,,,,,,,
51,spawner,option 3,,,,,,,,,,,,,,,,,,,2,,,,,,,,
51,spawner,option 4,,,,,,,,,,,,,,,,,,,,2,,,,,,,
52,spawner,,,,,,,,,2,,,2,2,2,2,2,2,2,1,,,,,,,,,
52,spawner2,,,,,,,,,2,,,2,2,2,2,2,2,2,,,,,,,,,,
52,spawner,option 1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
52,spawner,option 2,,,,,,,,,,,,,,,,,,,2,,,,,,,,
52,spawner,option 3,,,,,,,,,,,,,,,,,,,,2,,,,,,,
52,spawner,option 4,,,,,,,,,,,,,,,,,,,,,2,,,,,,
53,spawner,,,,,,,,,2,,,2,2,2,2,2,2,2,1,,,,,,,,,
53,spawner2,,,,,,,,,2,,,2,2,2,2,2,2,2,,,,,,,,,,
53,spawner,option 1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
53,spawner,option 2,,,,,,,,,,,,,,,,,,,2,,,,,,,,
53,spawner,option 3,,,,,,,,,,,,,,,,,,,,2,,,,,,,
53,spawner,option 4,,,,,,,,,,,,,,,,,,,,,2,,,,,,
54,spawner,,,,,,,,,2,,,2,2,2,2,2,2,2,1,,,,,,,,,
54,spawner2,,,,,,,,,2,,,2,2,2,2,2,2,2,,,,,,,,,,
54,spawner,option 1,,,,,,,,,,,,,,,,,,1,,,,,,,,,
54,spawner,option 2,,,,,,,,,,,,,,,,,,,2,,,,,,,,
54,spawner,option 3,,,,,,,,,,,,,,,,,,,,2,,,,,,,
54,spawner,option 4,,,,,,,,,,,,,,,,,,,,,2,,,,,,
55,spawner,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
55,spawner2,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
55,spawner,option 1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
55,spawner,option 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,
55,spawner,option 3,,,,,,,,,,,,,,,,,,,,,2,,,,,,
55,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,2,,,,,
56,spawner,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
56,spawner2,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
56,spawner,option 1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
56,spawner,option 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,
56,spawner,option 3,,,,,,,,,,,,,,,,,,,,,2,,,,,,
56,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,2,,,,,
57,spawner,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
57,spawner2,,,,,,,,,2,,,,2,2,2,2,2,2,1,2,,,,,,,,
57,spawner,option 1,,,,,,,,,,,,,,,,,,,2,,,,,,,,
57,spawner,option 2,,,,,,,,,,,,,,,,,,,,2,,,,,,,
57,spawner,option 3,,,,,,,,,,,,,,,,,,,,,2,,,,,,
57,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,2,,,,,
58,spawner,,,,,,,,,2,,,,,2,2,2,2,2,1,2,2,,,,,,,
58,spawner2,,,,,,,,,2,,,,,2,2,2,2,2,1,2,2,,,,,,,
58,spawner,option 1,,,,,,,,,,,,,,,,,,,,2,,,,,,,
58,spawner,option 2,,,,,,,,,,,,,,,,,,,,,2,,,,,,
58,spawner,option 3,,,,,,,,,,,,,,,,,,,,,,2,,,,,
58,spawner,option 4,,,,,,,,,,,,,,,,,,,,,,,2,,,,
59,spawner,,,,,,,,,2,,,,,2,2,2,2,2,1,2,2,,,,,,,
